Date,Open,High,Low,Close,Volume,Market Cap
Aug-23-2021,43.69098172895653,52.56884387826687,43.69098172895653,46.3845,2532694171.205575,8362178955.1565
Aug-22-2021,44.267,44.9039,41.11678487973782,43.69098172895653,2610685287.470383,7444456369.202014
Aug-21-2021,38.8336,50.1276,37.94877471221402,44.267,2754158358.7456446,7841815015.463132
Aug-20-2021,30.6873,39.07838289726538,30.1137,38.8336,1760401777.3333333,6118938372.362917
Aug-19-2021,29.8494,33.6146117569894,28.914,30.6919,2286984456.4444447,5356330427.9724
Aug-18-2021,23.5231,30.7379,21.5515,29.7547,1506223405.7777777,4305991237.923072
Aug-17-2021,19.1916,25.27997424224691,18.6356,23.3234,727994631.522807,3809805114.439197
Aug-16-2021,18.8066,21.045923538646655,18.569,19.1472,247459797.7979094,3408238609.361161
Aug-15-2021,18.0764,18.839,17.1986,18.839,151635819.3611111,3086290519.883978
Aug-14-2021,18.04014350429236,18.413899599733423,17.287687986171566,18.0416,175309489.44444445,3115215180.9027443
Aug-13-2021,16.5835,18.280213022938806,16.4274,18.092603991658684,180051039.05555555,3049413610.274908
Aug-12-2021,16.7373,17.546360098732748,15.5234,16.5437,192505875.5,2857917857.3206625
Aug-11-2021,16.46284494399829,17.5534,16.46284494399829,16.7941,186646608.94444445,2964303428.766477
Aug-10-2021,16.205291474304104,16.993218731541457,15.8281,16.44028639527135,220848126.1111111,2851074789.9345737
Aug-09-2021,14.831264305148473,16.6945,14.500912898473665,16.204292014449123,161292302,2697600162.4200444
Aug-08-2021,15.84,16.061624448886125,14.61,14.844865697069244,166594213.7777778,2663240595.602685
Aug-07-2021,14.735902633288717,15.880190586979491,14.66150251300308,15.847670045263731,180824405.65034965,2644736590.3584075
Aug-06-2021,13.838486884277089,14.945834104560223,13.426233327336057,14.73457468460998,122961164.47222222,2431372040.438849
Aug-05-2021,13.69,13.956615885100648,12.948688025761127,13.84429082501232,104988334.51094891,2344244696.7315803
Aug-04-2021,12.55,13.76,12.46,13.66,83343879.31983806,2242736122.0929313
Aug-03-2021,13.02,13.5,12.39,12.62,93679687.008,2204548189.6088176
Aug-02-2021,12.877946709749802,13.35,12.696653853709352,13.02,121299862.03508772,2269311938.4634633
Aug-01-2021,13.5939035762877,14.07,12.738173515055612,12.951124812347333,121343132.98954704,2356243539.639788
Jul-31-2021,12.99,13.587723786734813,12.65,13.587723786734813,101427148.35036497,2242230304.8660398
Jul-30-2021,12.41,12.98,11.982313953296453,12.94,104380008.8888889,2151522497.7777443
Jul-29-2021,12.31,12.62104287505239,11.992831503112136,12.4,112854662.02090593,2127412618.861109
Jul-28-2021,11.91,12.4,11.72,12.32,98816498.45714286,2090292583.4523573
Jul-27-2021,11.48,12.32,11.2,11.84,114027702.75177304,2004320542.1849773
Jul-26-2021,11.22,12.68,11.22,11.43,104410908.92753623,2083260726.3954556
Jul-25-2021,11.16,11.33,10.78,11.2,55673011.09090909,1905462598.6451147
Jul-24-2021,11.09,11.43,10.97,11.16,54019779.18367347,1929466109.667163
